pair,variant,condition,dimension,group,n,model_mean,old_gt,old_residual,new_gt,new_residual,residual_delta,status
Phi4,base,Clinical,race,White,120,11.067,3.19,7.877,2.912,8.155,0.278,CORRECTED
Phi4,base,Clinical,race,Black,120,10.875,3.21,7.665,3.242,7.633,-0.032,CORRECTED
Phi4,base,Clinical,race,Hispanic,120,11.175,3.15,8.025,3.154,8.021,-0.004,CORRECTED
Phi4,base,Clinical,race,Asian,120,11.342,2.23,9.112,2.157,9.185,0.073,CORRECTED
Phi4,base,Clinical,race,Multiracial,120,11.408,3.0,8.408,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Phi4,base,Narrative,ses,Low,200,12.365,2.23,10.135,4.247,8.118,-2.017,CORRECTED
Phi4,base,Narrative,ses,Middle,200,7.17,2.23,4.94,3.118,4.052,-0.888,CORRECTED
Phi4,base,Narrative,ses,High,200,5.26,2.23,3.03,2.227,3.033,0.003,CORRECTED
Phi4,base,Narrative,gender,Cisgender Man,150,8.2,2.23,5.97,2.505,5.695,-0.275,CORRECTED
Phi4,base,Narrative,gender,Cisgender Woman,150,8.213,2.23,5.983,3.443,4.77,-1.213,CORRECTED
Phi4,base,Narrative,gender,Transgender Man,150,7.973,2.23,5.743,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Phi4,base,Narrative,gender,Transgender Woman,150,8.673,2.23,6.443,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Phi4,base,Narrative,race,White,120,8.317,3.19,5.127,2.912,5.405,0.278,CORRECTED
Phi4,base,Narrative,race,Black,120,8.775,3.21,5.565,3.242,5.533,-0.032,CORRECTED
Phi4,base,Narrative,race,Hispanic,120,7.925,3.15,4.775,3.154,4.771,-0.004,CORRECTED
Phi4,base,Narrative,race,Asian,120,8.342,2.23,6.112,2.157,6.185,0.073,CORRECTED
Phi4,base,Narrative,race,Multiracial,120,7.967,3.0,4.967,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Phi4,ablit,Clinical,ses,Low,200,13.425,2.23,11.195,4.247,9.178,-2.017,CORRECTED
Phi4,ablit,Clinical,ses,Middle,200,9.04,2.23,6.81,3.118,5.922,-0.888,CORRECTED
Phi4,ablit,Clinical,ses,High,200,5.535,2.23,3.305,2.227,3.308,0.003,CORRECTED
Phi4,ablit,Clinical,gender,Cisgender Man,150,8.893,2.23,6.663,2.505,6.388,-0.275,CORRECTED
Phi4,ablit,Clinical,gender,Cisgender Woman,150,9.527,2.23,7.297,3.443,6.084,-1.213,CORRECTED
Phi4,ablit,Clinical,gender,Transgender Man,150,9.287,2.23,7.057,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Phi4,ablit,Clinical,gender,Transgender Woman,150,9.627,2.23,7.397,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Phi4,ablit,Clinical,race,White,120,9.1,3.19,5.91,2.912,6.188,0.278,CORRECTED
Phi4,ablit,Clinical,race,Black,120,9.45,3.21,6.24,3.242,6.208,-0.032,CORRECTED
Phi4,ablit,Clinical,race,Hispanic,120,8.8,3.15,5.65,3.154,5.646,-0.004,CORRECTED
