pair,variant,condition,dimension,group,n,residual,t,p,p_bh,sig_bh_.05
Llama3.1,ablit,Clinical,ses,High,200,1.323,7.711,1.320e-11,1.607e-11,True
Llama3.1,ablit,Narrative,race,White,119,-0.341,-1.358,1.778e-01,1.824e-01,False
Llama3.1,ablit,Narrative,race,Black,120,-0.3,-1.104,2.720e-01,2.774e-01,False
Llama3.1,ablit,Narrative,race,Hispanic,120,-0.654,-2.905,5.005e-03,5.208e-03,True
Llama3.1,ablit,Narrative,race,Asian,120,0.218,0.906,3.664e-01,3.716e-01,False
Llama3.1,ablit,Narrative,gender,Cisgender Man,149,-0.418,-2.156,3.376e-02,3.482e-02,True
Llama3.1,ablit,Narrative,gender,Cisgender Woman,150,-0.996,-4.63,1.499e-05,1.615e-05,True
Llama3.1,ablit,Narrative,ses,Low,200,0.628,3.088,2.555e-03,2.667e-03,True
Llama3.1,ablit,Narrative,ses,Middle,199,-1.525,-13.174,0.000e+00,0.000e+00,True
Llama3.1,ablit,Narrative,ses,High,200,-1.087,-11.396,0.000e+00,0.000e+00,True
DeepSeekR1,base,Clinical,race,White,120,6.413,12.171,4.441e-16,6.016e-16,True
DeepSeekR1,base,Clinical,race,Black,119,7.859,14.999,0.000e+00,0.000e+00,True
DeepSeekR1,base,Clinical,race,Hispanic,120,7.446,17.368,0.000e+00,0.000e+00,True
DeepSeekR1,base,Clinical,race,Asian,120,8.076,16.14,0.000e+00,0.000e+00,True
